display  D   display_settings.c:357  _al_score_display_settings       [   0.01610] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01616] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01618] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01620] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01622] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01623] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01624] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01627] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01628] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01629] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01632] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01633] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01634] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01635] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01637] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01638] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01639] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01640] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01641] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01643] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01644] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01645] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01646] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01649] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01650] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01652] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01653] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01654] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01655] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01656] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01658] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01659] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01660] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01661] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01662] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01663] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01665] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01666] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01667] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01668] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01669] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01670] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01672] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01673] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01674] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01675] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01676] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01677] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01679] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01680] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01681] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01682] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01683] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01684] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01686] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01687] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01688] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01689] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01690] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01692] Score is : 587
