display  D   display_settings.c:357  _al_score_display_settings       [   0.03155] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03156] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03157] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03158] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03160] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03161] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03162] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03164] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03165] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03166] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03167] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03168] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03170] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03171] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03172] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03173] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03175] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03176] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03177] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03178] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03180] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03181] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03182] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03183] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03184] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03186] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03187] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03190] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03191] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03193] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03194] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03195] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03196] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03197] Score is : 585
