display  D   display_settings.c:357  _al_score_display_settings       [   2.79748] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79751] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79752] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79754] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79756] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79758] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79759] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79761] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79762] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79763] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79764] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79765] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79766] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79768] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   2.79769] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79770] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79771] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79772] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79774] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79775] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79776] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79777] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79779] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79782] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79783] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79786] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79787] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79789] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79790] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79791] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79792] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79794] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79795] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79796] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79797] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79798] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79799] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79801] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79802] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79803] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79804] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79805] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79806] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79807] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79809] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79810] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79811] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79812] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79813] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79814] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79816] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79817] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79818] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79819] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79820] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79822] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79823] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79824] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79825] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79826] Score is : 586
