display  D   display_settings.c:357  _al_score_display_settings       [   0.02278] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02280] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02282] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02284] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02286] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02288] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02290] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02292] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02294] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02296] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02298] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02300] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02302] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02305] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02307] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02309] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02311] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02313] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02315] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02317] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02319] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02321] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02323] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02328] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02330] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02332] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02334] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02336] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02338] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02340] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02342] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02344] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02347] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02349] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02351] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02353] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02355] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02357] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02359] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02361] Single Buffer requirement not met.
