system   W            wsystem.c:504  load_library_at_path             [   0.00047] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\Debug\d3d9.dll (error: 126)
display  D   display_settings.c:486  _al_score_display_settings       [   0.05700] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05701] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05702] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05703] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05704] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05706] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05707] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05708] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05709] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05710] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05711] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05712] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05713] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05714] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05716] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05717] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05718] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05719] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05720] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05721] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05722] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05724] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05726] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05727] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05728] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.05729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05732] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05734] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05735] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05740] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05741] Single Buffer requirement not met.
